Title;Description;LocationName
Zoelae Trail;"É com enorme prazer que a organização do ZOELAE TRAIL dá as boas vindas aos atletas que irão participar nas diversas provas, realçando o compromisso de que tudo faremos para vos proporcionar uma experiência de Trail única e com uma identidade singular.  
O ZOELAE Trail 2019 é organizado pela empresa t’inc tendo como promotor o Município de Bragança com o intuito de dinamizar e incentivar à prática da modalidade de trail running, não descurando os patrimónios cultural, paisagístico e ambiental únicos que Bragança tem para oferecer.
Nesta edição, o nosso evento começará no sábado às 21 horas (na cidadela do Castelo de Bragança), com um ritual iniciático intitulado “Invocação”, no qual os bravos Zoelas vão solicitar proteção para a “batalha” de domingo. Convidamos todos os participantes a estarem presentes, vestindo as camisolas da prova (incluídas no kit). 
";Fernão o Bravo
Zoelae Trail 2018;"O Município de Bragança organiza a 3ª edição do evento ZOELAE TRAIL. Decorrerá no dia 18 de Agosto de 2019, em Bragança.

O ZOELAE TRAIL é um evento que terá lugar no território ocupado por um povo pré-romano chamado ZOELAE. Este povo é reconhecido pela sua bravura e gosto por acolher visitantes. Nesta edição, as provas decorrerão na Serra de Nogueira, local onde existe a maior mancha espontânea de carvalho negral da Europa. A participação no trail longo, no trail curto e nas caminhadas é aberta a maiores de idade (a caminhada curta está aberta a menores, desde que acompanhados).



O 3º ZOELAE TRAIL é constituído por 3 provas e uma caminhada: ZOELAE TRAIL Longo (30km), ZOELAE TRAIL Curto (20Km), Mini Trail (10Km) e a uma Caminhada Curta.

";Castelo de Bragança, Fernão o Bravo, Bragança
Corrida 1;Corrida 1;Macedo de Cavaleiros
IV Caminhada MOR Bragança- Cidões;"Num percurso que é uma homenagem aos nossos antepassados, este percurso mantém viva a memória dos que se deslocavam a Bragança, durante todo o ano. 

Oriundos de todas as terras do distrito, deslocavam-se a pé ou a cavalo.
Parte do trajeto é pela milenar calçada romana.

Durante o trajeto é possível admirar as paisagens deslumbrantes da região.

A caminha tem início junto à Igreja de Santiago, em Bragança.

A inscrição Inclui: Paisagens deslumbrantes e calçada romana; Seguro de acidentes pessoais; Apoio durante o percurso; Bebidas em Vila Boa de Ousilhão e surpresa; Chocolate e filhoses à chegada a Cidões; Almoço na sede da Associação Raízes em Cidões; Transporte de autocarro de Cidões para Vinhais e Bragança.

Organização: Associação Cultural, Recreativa, Desportiva e Ambiental Raízes d`aldeia de Cidões
Apoios: 
Câmara Municipal de Vinhais; Junta de Freguesia de Vilar dos Peregrinos; Junta de Freguesia de Vila Boa; Associação Cultural e Desportiva de Vila Boa; Enzonas Associação de Caminheiros de Bragança
";Bragança
IIº Passeio Micológico Sendim da Serra;"No próximo dia 17 de novembro realiza-se o IIº Passeio Micológico, na localidade de Sendim da Serra. 
Em plena Serra da Gouveia, no concelho de Alfândega da Fé, deve o seu nome à serra que a acolhe, uma localidade desenvolvida em torno da Igreja Matriz.

O programa do evento tem início dia 16 de novembro, sábado, com um jantar e magusto, onde o vinho novo é provado. O jantar é animado pelo Grupo “Danças da Nossa Terra”.

Dia 17, domingo, o dia tem início com um pequeno-almoço tradicional, ponto de partida para o passeio Micológico. A caminhada será acompanhada por profissionais de micologia, numa experiência envolvente, para uma manhã de aprendizagem.
O passeio termina com uma Prova de Azeite da Casa Aragão. 

O programa continua após pausa para almoço, com Workshop de cogumelos selvagens e um show cooking onde a animação é garantida.

Ementa dia 17:
Torradas de Azeite
Enchidos 
Cogumelos
Açorda e Feijoada de Cogumelos
Carne grelhada

Custo por pessoa: 25€
Custo casal: 40€
Crianças até 12 anos: 10€
O valor com tudo incluído (jantar de dia 16 e pequeno-almoço e almoço de dia 17).


";Sendim da Serra
Passos pela Natureza;Natureza;Alfândega da Fé
Walk Run Natal Solidário;"Dia 20 de dezembro, às 20h30, acontece o Walk Run Natal Solidário, um evento que celebra o espírito natalício e une solidariedade e atividade física.
O evento é composto por duas atividades, uma corrida de 8km e uma caminhada de 5km, abertas a participantes de todas as idades e níveis de preparação física.

Mais do que uma simples atividade de lazer, o evento tem um propósito solidário: os participantes devem levar um bem, como alimentos (papa, Nestum de arroz; leite, cereais, arroz, entre outros), produtos de higiene (champô; creme, creme hidratante; fraldas, entre outros) ou brinquedos, para apoiar a instituição “Sol dos Meninos”, que acolhe crianças dos 0 aos 12 anos.

A instituição nasceu em Junho de 1996, como iniciativa do Centro Social de S.Pedro e dos Serviços de Ação Social locais.  Este espaço é um centro de acolhimento temporário, que acolhe crianças em situação de vulnerabilidade.
Com capacidade para 10 crianças, esta instituição é uma casa temporária, onde crianças em situações de risco são acolhidas no sentido de dar uma resposta rápida a situações urgentes.

A corrida e a caminhada não só proporcionam um momento de lazer e bem-estar, como também permitem que os participantes contribuam ativamente para quem mais precisa. 
Este é um convite para que, neste Natal, cada passo dado seja um gesto de amor e apoio a quem mais necessita.

Inscrição Obrigatória.
";Montijo
177º Percurso Pedestre Enzonas - Travessia Invernal;"A Associação de Caminheiros de Bragança -Enzonas, prepara o 177º Percurso Pedestre, a Travessia Invernal no Parque Natural de Montesinho.
Um percurso circular de dificuldade moderada, com concentração junto à barragem da Serra Serrada.";Montesinho
Corrida São Silvestre Cidade Lagoa;"A corrida de São Silvestre é um evento que decorre no Município de Lagoa, nos Açores.
Este evento tem como objetivo promover a modalidade e, em simultâneo, estimular a população para a prática desportiva.
Este evento é de participação aberta e existem vários percursos disponíveis de corrida e caminhada.

Para mais informações consulte: https://www.facebook.com/saosilvestredelagoa";Lagoa
Euro Winners Cup;"O Campeonato de Futebol de Praia Euro Winners Cup reúne alguns dos melhores do mundo da modalidade no território Nazareno.
Nesta competição são apresentadas várias equipas femininas e masculinas que disputam entre si a Euro Winners Cup.
Esta competição decorre no estádio do Viveiro, Jordan Santos, na Praia da Nazaré.";Nazaré
IRONMAN Cascais;"IRONMAN Cascais é a primeira prova de longa distância em Portugal. Este triatlo é composto por um percurso único, rodeado pelo património e pelas paisagens de Cascais.
A prova de natação é realizada na Baia de Cascais, um local muito procurado pelos visitantes e que nos dias do evento se enche de atletas que nadam uma distância de cerca de 3,8km. A prova de natação fica completa com uma prova de 180km de ciclismo e 42,2km de corrida, para atletas que participem no full IRONMAN. Atletas que competem no IRONMAN 70.3 a prova é composta por uma distância de 1,9km de natação, 90,1km de ciclismo e 21,1km de corrida.";Cascais
Ultra Maratona Atlântica Grândola;"Conhecida como a maior prova desportiva do Município de Grândola, a Ultra Maratona Atlântica é um evento que desafia os visitantes a testar os seus limites nas praias da frente atlântica.

Num território com uma extensão de 43km, entre a Praia de Melides e a Praia do Bico das Lulas em Tróia, a maratona é uma prova de resistência física, que brinda os atletas com as paisagens deslumbrantes da região do Alentejo Litoral.

Um dos principais aspetos que tornam esta prova única, é o facto de esta se realizar em terreno arenoso, enquadrada com a frente atlântica e a Serra da Arrábida.

A primeira edição foi em 2014 e o rigor e qualidade mantém-se, apresentando aos atletas a prova “Ultra Maratona”, de 43km, e a prova “Corrida Atlântica”, com 15km.";Melides
Ansiães Douro Trail;"Esta prova de Trail Running acontece no Município de Carrazeda de Ansiães, num território com paisagens únicas, marcadas pelos rios Tua e Douro.

A prova é certificada pela ATRP e tem início e fim no Centro de Apoio Empresarial de Carrazeda de Ansiães.

O evento e composto por duas corridas, o Trail Longo de 32,2km e Trail Curto de 17,5km.
As provas percorrem vários caminhos rurais e estradas da região, numa competição que vale a pena participar pelo cenário em que se desenvolve.

No dia do evento, é também realizado um percurso pedestres, de 13,7km, sem caráter competitivo.";Carrazeda de Ansiães
Raid BTT Alvalade-Porto Covo;"Considerado um dos maiores eventos de BTT a nível Nacional, o Raid BTT Alvalade – Porto Covo realiza-se em Santiago do Cacém.
Esta competição proporciona aos seus participantes uma série de trilhos entre a serra e o mar, atraindo participantes de todo o país e do estrangeiro.

A ideia de realizar esta prova surgiu em 1998, com o objetivo de ligar Alvalade, no concelho de Santiago do Cacém, ao mar, tendo como destino Porto Covo, no concelho de Sines. Assim surgiu o Raid BTT Alvalade-Porto Covo, realizado pela primeira vez em 1999.";Alvalade
III Maratona Carvoeira – Rota dos Baloiços (BTT)  ;"​A 3.ª Maratona BTT Carvoeira – Rota dos Baloiços é um evento de ciclismo de montanha que ocorrerá no dia 6 de abril de 2025, no Eco Parque Serra São Julião, na Carvoeira. 

Esta prova constitui a segunda etapa da Taça Oeste XCM 2025 e destina-se a praticantes de BTT com idade igual ou superior a 18 anos. ";Carvoeira | União de Freguesias de Carvoeira e Carmões
Cross de Ano Novo;"A pista do Eco Parque da Serra de São Julião é o palco para mais uma prova de atletismo de Torres Vedras.
Um campeonato pensado para os diferentes escalões etários, este evento marca a importância da modalidade e de um estilo de vida ativo e saudável.

Com as paisagens da Serra de São Julião como cenário de fundo, os atletas percorrem as pistas do Eco Parque numa prova desafiante e única.";Carvoeira
Trail Caminhos do Diabo;"Conhecida na região como Freguesia do Diabo, Samuel, em Soure, é o palco de mais uma edição do Trail Caminhos do Diabo.

Este evento, dá vida aos caminhos rurais e florestais da região, onde a competição proporciona uma aventura emocionante por algumas das melhores paisagens da região.

O Trail tem quatro provas, para os vários atletas. Para além do Trail longo, curto e mini, o evento inclui também uma caminhada, sem a vertente competitiva, onde os participantes podem conhecer o património da localidade.

Para descobrir a origem do nome “Freguesia do Diabo”, sugere-se uma visita à Igreja Matriz, onde se encontra a escultura de São Miguel espetar uma lança em Lucifer.";Samuel
Corrida São Silvestre - Guarda;"O Município da Guarda, em parceria com a Associação de Atletismo da Guarda, promovem no dia 15 de dezembro a 1ª Corrida São Silvestre | 46º Grande Prémio de Atletismo Cidade da Guarda.

A madrinha da iniciativa é a atleta, Jéssica Augusto atleta portuguesa especializada em provas de meio-fundo longo e de corta-mato.
Irão estar disponíveis provas de várias distâncias com prémios monetários para os primeiros classificados.

No decorrer do evento irá também realizar-se uma caminhada, sem a vertente competitiva, onde os participantes são convidados a conhecer o património arquitetónico da cidade.

O início das provas decorrerá a partir das 15h00 com partidas e chegadas na Avenida dos Bombeiros Voluntários Egitanienses, junto ao Centro Comercial La Vie, entrada do piso 3.";Guarda
178º PERCURSO PEDESTRE ENZONAS - Equinócio da Primavera;"Dando continuidade ao previsto no nosso Plano de Atividades, organizaremos no próximo dia 30 de março o 178º Percurso Pedestre Enzonas. Já habitual nesta altura do ano, celebraremos o Equinócio da Primavera na serra de Bornes.
Todas as informações constam do cartaz do evento. Aceitaremos inscrições até ao dia 19 de março de 2025, através de www.enzonas.com, sendo estas validadas através do pagamento por referência multibanco enviado para o mail de todos os inscritos.";Bornes
MX Ribatejo – Campeonato Regional Centro Sul ;"O motocross regressa a Carvoeira para o Campeonato Nacional MX50 e MX Femininas.

Uma prova onde a adrenalina e o amor pela modalidade é celebrado, leva os amantes de motas numa competição onde as paisagens da região pintam um cenário único. 

 Num evento no qual ainda está tudo por decidir, mas que promete uma final em grande. 
";Carvoeira
Trail de Convívio Arrozais do Pranto;"Dia 20 de junho, em Calvete, Alqueidão, realiza-se mais um Trail de Convívio Arrozais do Pranto.

Um evento que reúne os amantes de caminhada e corrida para um dia de muito convívio, onde o desporto une a população.

Com duas provas, de 10km e 15km, o trail termina com um almoço para recuperar energias e celebrar. 
";Calvete | JF Alqueidão
7º Trilhos Luso Bussaco;"Num Trail que une a paixão pelo desporto aos encantadores Caminhos florestais da Serra do Bussaco, os atletas são convidados a desafiar-se.

Em pela Serra do Bussaco, o evento explora a beleza da sua Mata e passa pelo Palace Bussaco Hotel, Escadas da Fonte Fria e Cruz Alta. 

Com três distâncias de corrida, uma caminhada e Kids trail, tem opções para todos os níveis de preparação física. 
";Mealhada
180º PERCURSO PEDESTRE ENZONAS - 14º ANIVERSÁRIO;"E chegou a data de mais um aniversário. Já são 14 anos na organização de percursos pedestres, de participação em atividades noutras localidades, de convívio e de muito mais.
Para esta comemoração temos um programa dividido em duas datas - 1 e 4 de maio. No dia 1, como habitual, iremos visitar o Ribeiro do Enzona, junto ao Rio Maçãs, em Quintanilha. No dia 4 teremos as comemorações em Sacoias com a realização do percurso pedestre de aniversário e o almoço convívio.
Aceitamos inscrições até ao dia 30 de abril 2025. Estas só serão validadas após o pagamento da inscrição, através de Refª MB, enviada para o mail de cada inscrito.
Todas as informações no Cartaz do evento.";SACOIAS
Trilhos Incontornáveis - 1ª Edição;"Os Trilhos Incontornáveis - 1ª Edição são uma experiência desportiva pensada para quem gosta de natureza, desafio e inovação. 

Com várias distâncias à escolha e integração com a app DareYou Spot, poderás acompanhar a tua prova em tempo real, partilhar a localização com amigos e aceder a um replay do teu percurso após o evento. Tudo isto, com a garantia de uma organização focada no teu bem-estar e segurança.";Bragança
