Title,Description,LocationName
"Castelo de Bragança","O Castelo de Bragança, um dos mais representativos da arquitetura medieval, foi construído em 1409 por ordem de D. João I, sobre as fundações do tempo do primeiro rei de Portugal, D. Afonso Henriques.<br>Composto por uma imponente Torre de Menagem e por uma muralha dupla, o conjunto está muito bem conservado e a praça de armas, conhecida por cidadela ou vila, onde fica a Igreja de Santa Maria e a Domus Municipalis, mantém o velho casario medieval de ruas estreitas e pequenas casas caiadas de branco.<br>As muralhas são formadas por 15 torres e 3 portas, onde se destacam a Torre da Princesa, antiga dependência da Casa dos Alcaides que guarda a lenda de uma princesa feita prisioneira, e a Porta da Vila que acolhe o visitante ao castelo.<br>Na Torre de Menagem, com 17 metros de lado e 33 m de altura, merecem referência alguns elementos artísticos góticos, nomeadamente as ameias, as janelas e a pedra de armas da Casa Real de Avis, fundada por D. João I. Vale a pena subir até ao último piso, pela vista sobre a cidade e a paisagem envolvente.<br>No interior da Torre, com cinco pisos, está instalado o Museu Militar. Foi fundado em 1932, por iniciativa do coronel António José Teixeira, comandante do Regimento de Infantaria nº 10 aquartelado na cidadela desde meados do séc. XIX.<br>O espólio é constituído pela coleção particular de António José Teixeira e por peças doadas pelos militares que tinham participado em campanhas de unidades militares sediadas em Bragança, nomeadamente as de África e de França durante a 1ª Guerra Mundial. O conjunto ilustra a evolução do armamento ligeiro entre os séculos XII e XX.",Bragança
"Ponte Romana de Trajano","Ponte construída em granito, no período da Romanização, e formada por dezoito arcos, embora atualmente só estejam visíveis doze. Parte integrante da via romana XVII, ligava Bracara Augusta (Braga) a Asturica (Astorga), por Aquae Flavieae (Chaves). Nesta ponte existem duas colunas comemorativas do tempo dos imperadores romanos Titus Flavius Vespasiano e Marco Ulpio Trajano. Terá sido na vigência de Trajano, no ano de 104 d.C, que se concluiu a primeira das duas colunas, dando início à edificação da ponte.",Chaves
"Torre de menagem do Castelo de Chaves","O que resta da fortificação medieval foi edificado no período gótico, possivelmente no século XIII. D. Afonso III passou foral à povoação em 1258 e é a este monarca que se atribui o projeto defensivo baixo-medieval. Do antigo castelo medieval conserva a torre de menagem, de planta quadrangular, com fachadas sigladas, terminadas em parapeito e ameias prismáticas, tendo no topo balcões retangulares e nos ângulos balcões circulares, assentes em mísulas escalonadas e com matacães, rasgadas por frestas simples e bíforas, acedida a nível elevado, por portal em arco de volta perfeita, encimado pelas armas de Portugal, e troço de muralhas de planta retangular a envolver parcialmente a torre, com adarve e balcões. No séc. XVII foi transformado numa fortaleza abaluartada, de planta irregular, da qual são visíveis algumas cortinas, com a escarpa exterior em talude, possuindo cordão e terminando em parapeito, tendo nos ângulos do baluarte da Amoreira balcões poligonais salientes e no baluarte do Castelo guaritas poligonais. A par destas foram construídos o Forte de São Neutel e São Francisco, transformando assim, a cidade de Chaves na maior Praça Forte de Trás-os-Montes, uma das mais importantes da raia.",Chaves
"Castelo e Torre de Santo Estêvão","As referências iniciais a este local datam do século XI e mencionam uma propriedade rural de grandes dimensões, eventualmente fortificada. Durante dezanove anos, a fortaleza esteve na posse do monarca Afonso IX de Leão, após conquista no processo de defesa de sua filha, Infanta D. Teresa, sendo restituída à coroa portuguesa em 1231, quando se celebra o acordo de paz do Sabugal. A posição estratégica de Santo Estêvão determinou que alguns dos contactos entre as duas coroas passassem por aqui, tal como em 1253 quando D. Afonso III recebe a sua futura esposa, D. Beatriz.",Chaves
"Forte de São Neutel","Forte seiscentista de planta estrelada, composta por quatro baluartes regulares, inspirado no sistema de Vauban. A sua planta é semelhante ao vizinho Forte de São Francisco. Destaca-se o fosso interno e no centro da praça de armas a Capela da Nossa Senhora das Brotas. Os muros são de granito com espessura mínima de 1 metro, e a sua altura varia entre 7 e 10 metros. Para além da Guerra da Restauração foi, ainda, palco de combate, aquando das incursões monárquicas, entre forças civis, militares e o regime republicano, no ano de 1912.",Chaves
"Castelo de Monforte de Rio Livre","A maior parte do conjunto atualmente edificado do Castelo de Monforte de Rio Livre data de finais do século XIII e primeira metade do seguinte. O seu nome provém de um antigo concelho medieval que terá sido extinto no século XIX.  Depois de passada a carta de foral de D. Afonso III, em 1273, a (re)construção da fortaleza continuou pelo reinado de D. Dinis concluindo-se na primeira metade do século XIV, altura em que se documenta a presença de um alcaide na localidade e se verifica um forte crescimento do espaço urbano. A torre de menagem é o principal elemento remanescente e aquele que confere ao castelo a imagem militar por excelência.O Castelo de Monforte de Rio Livre faz parte da linha de defesa de Trás-os-Montes, sendo um ponto de vigia próximo da via romana de Bracara Augusta. ",Águas Frias
"Museu Nacional Ferroviário - Núcleo de Macinhata do Vouga","Localizado em Macinhata do Vouga, no Município de Águeda, o Museu Nacional Ferroviário é um espaço que retrata a história da ligação que existiu até 1990, entre Viseu e Espinho. Aqui é possível ver várias locomotivas das companhias ferroviárias Nacionais e do Vale do Vouga. Dos vários veículos que compõem a exposição permanente, destacam-se as Automotoras Nacionais ME 51 e ME 53. Este espaço localiza-se na Linha do Vouga, a única linha ferroviária de via estreita que ainda se encontra em funcionamento em território Nacional.",Águeda
"Pateira de Fermentelos","A Pateira de Fermentelos faz parte da bacia hidrográfica do rio Cértima e é a maior lagoa Natural da Península Ibérica. Esta zona protegida, incluída na Rede Natura 2000, é um espaço com uma diversidade em termos de fauna e flora únicas e são várias as espécies que poderá observar no seu habitat natural. A Garça-vermelha, a Águia-sapeira ou o Milhafre-preto, são apenas algumas das espécies que poderá encontrar na pateira, um local de excelência para a observação de aves. O seu valor natural e impacto na comunidade local, fazem da Pateira de Fermentelos um local imperdível numa visita à região.","Águeda, Aveiro, Oliveira do Bairro"
"Igreja de São Salvador da Trofa – Panteão de Lemos","Classificada como Monumento Nacional, a Igreja dedicada a São Salvador, é um templo de planta retangular que sofreu várias reformulações ao longo dos séculos. No seu interior, merece destaque a capela-mor, com cobertura em abobada de nervuras, quatro bocetes nos fechos secundários e um maior no centro, é neste espaço que se encontram os túmulos da Capela Funerária Lemos, datados do século XVI. O Panteão de Lemos destaca-se pela sua riqueza escultórica e decorativa e esteve na origem da classificação deste monumento como de interesse Nacional.",Trofa
"Parque da Alta Vila","Classificado como imóvel de interesse Público, o Parque da Alta Vila é local de destaque na região pela sua arquitetura revivalista. Por todo o Parque, são várias as guaritas e ameias esculpidas nos muros, que comprovam a motivação romântica e revelam as influências medievais deste espaço. No interior do parque é possível descobrir pequenas pontes, lagos e plantações de árvores exóticas que encantam qualquer visitante. ",Águeda
"Parque Fluvial do Alfusqueiro","O Parque Fluvial do Alfusqueiro é um dos vários parques fluviais do Município de Águeda onde é possível desfrutar de uma bela paisagem e refrescar-se nos dias de calor. Próximo da ponte do rio Alfusqueiro, este espaço disponibiliza aos banhistas lugares de sombra, com relva e areia fina, reunindo as condições ideias para usufruir da frescura das águas do rio.","Préstimo e Macieira de Alcôba"
"Miradouro do Monte Santo","Localizado no conhecido Pico da Figueira, o Miradouro do Monte Santo fica junto da pitoresca Ermida de Nossa Senhora do Monte Santo. Deste local é possível observar a Vila de Água de Pau, de um lado, e a  deslumbrante paisagem natural da Ilha, do outro. ",Água de Pau
