Title;Description;StartLocationName
Trilho de Quinta do Rebentão;"A pequena rota “Trilho de Quinta do Rebentão” é circular, com o seu início e fim junto ao painel informativo localizado na Quinta do Rebentão. Neste local está instalado um conjunto de valências turísticas e de lazer, nomeadamente, complexo de piscinas, parque de campismo, circuito de manutenção, restaurante e um Parque Botânico e Zoológico que inclui uma quinta pedagógica onde se desenvolvem atividades lúdicas e didáticas direcionadas para a vida no campo, os animais e as tradições rurais.

O caminho segue em direção à aldeia de Redial, na freguesia de Vilela do Tâmega, e continua em direção a Ventuzelos, podendo visitar-se, seguindo uma derivação, a Capela de Santa Bárbara, no Alto do Castro, de onde se poderá usufruir de uma vista panôramica da paisagem envolvente.
O trilho continua até à aldeia de São Pedro de Agostém, passando junto à sua Igreja Matriz, segue em direção ao Santuário Senhora da Saúde e regressa à Quinta do Rebentão.
";Vila Nova de Veiga
Trilho de Seara Velha - Castelões;"A pequena rota “Trilho de Seara Velha - Castelões” é circular, com uma variante. Tem o seu início e fim junto ao painel informativo localizado próximo da Igreja de Castelões. Passa junto ao Cruzeiro de Castelões, que apresenta Cristo Crucificado numa face e Nossa Senhora da Piedade na face oposta, e segue em direção ao Santuário da Nossa Senhora das Necessidades, onde existe uma pequena concha natural num rochedo de granito, onde se acumula água que é considerada milagrosa pela população local com especial virtude para a cura de doenças do engaranho.
O trilho prossegue para outro local de devoção mariana, o Santuário da Nossa Senhora da Aparecida, local onde se crê ter aparecido Nossa Senhora a três pastorinhos, no ano de 1833. Deste local, poderá tomar-se a variante de regresso à aldeia de Castelões, ou continuar o percurso em direção a Seara Velha, passando por dois chafarizes e pela sua Igreja Paroquial, cujo padroeiro é São Tiago.
Saindo da aldeia de Seara Velha, o trilho segue ao longo da margem direita da ribeira de Calvão, passa na aldeia de Calvão onde poderão conhecer vários locais de interesse patrimonial, nomeadamente, a Igreja Paroquia de Calvão, um moinho, um chafariz e a Capela de São José.
Deixando Calvão para trás, o trilho segue em direção ao seu ponto inicial, na aldeia de Castelões.";Castelões
Trilho de Vidago – Arcossó ;"A pequena rota “Trilho de Vidago – Arcossó” é um percurso pedestre linear. Tem o seu início junto ao painel informativo localizado na margem esquerda do rio Tâmega, e fim junto ao painel informativo colocado na margem direita deste rio, no local conhecido por Praia de Vidago.
O trilho segue em direção à vila de Vidago, passando pela aldeia de Arcossó, onde se destacam as Igreja de São Tomé e a Matriz, e de onde se pode usufruir de vistas privilegiadas sobre a vila de Vidago e o vale do rio Tâmega.
A entrada em Vidago faz-se percorrendo um troço da antiga linha de caminho-de-ferro, “Linha do Corgo”, e continua atravessando esta vila, com passagem pela Casa-Museu João Vieira e pelo recinto do Santuário do Alto do Côto, onde se encontra uma torre sineira com relógio e a capela onde repousa D. Eugénia Montalvão, benfeitora do povo, conhecida por Santa Eugénia.
Saindo de Vidago, o trilho segue para Vilarinho das Paranheiras, passando pela Igreja Matriz.
A chegada ao painel informativo do fim da pequena rota, junto à margem direita do rio Tâmega, é feita após um percurso de cerca de 250 metros pela antiga linha de caminho-de-ferro do Corgo, e atravessando-se o rio Tâmega por umas poldras colocadas no seu leito.";Vidago 
Trilho do Castelo de Monforte ;"A pequena rota “Trilho do Castelo de Monforte” é circular, com o seu início e fim junto ao painel informativo localizado no Largo do Campo, na aldeia das Avelelas.
O trilho atravessa a aldeia, passando pela Capela de Santa Bárbara e pela Igreja de Avelelas, e dirige-se para o Castelo de Monforte.
O castelo fortificado, construído entre o final do século XIII e o início do século XIV, classificado como Monumento Nacional, tem como principal elemento uma Torre de Menagem. Subindo-se à muralha da fortificação, poderá usufruir-se de uma paisagem panorâmica de 360° que inclui a cidade de Chaves e o amplo vale onde esta se estabeleceu. Junto a este imóvel existe um espaço de lazer, com parque de estacionamento e merendas. Saindo do Castelo de Monforte, o trilho desce em direção à aldeia de Sobreira, passa pela Capela de São Miguel e regressa à aldeia das Avelelas.
";Avelelas
Trilho de Moinhos de São Lourenço ;"A pequena rota “Trilho de Moinhos de São Lourenço” é circular, com o seu início e fim junto ao painel informativo localizado na aldeia de São Lourenço.
O trilho segue em direção à aldeia de Cela, passando junto à Igreja de Nossa Senhora das Neves, e segue até ao Miradouro de São Lourenço, de onde se avista todo o amplo vale onde se instalou a cidade de Chaves.
Desce até aos passadiços dos moinhos de São Lourenço, estruturas artificiais em madeira (varandins, corrimões, pontes e escadas) que permitem percorrer em segurança cerca de 100 metros das margens ribeirinhas de uma linha de água que serviu, outrora, como fonte de energia motriz para um conjunto de moinhos de água, agora em ruínas. Neste troço, é ainda possível apreciar uma paisagem verdadeiramente singular, onde se destacam cascatas, formas de erosão provocadas pela ação da água e a vegetação ripícola.
O percurso prossegue até à Capela da Senhora dos Aflitos, e continua subindo por uma Calçada Romana de volta ao Miradouro de São Lourenço. Segue até à aldeia de São Lourenço, passando pela sua Igreja Matriz e terminando junto ao painel informativo da pequena rota. Em São Lourenço existe ainda a possibilidade de degustar o famoso presunto de Chaves e conhecer a Ponte Romana do Arco percorrendo uma derivação.
";São Lourenço
PR 1 – Trilho da Pateira ao Águeda;"O PR1 ""Da Pateira ao Águeda"", é um percurso pedestre de pequena rota, que decorre por caminhos e territórios as Uniões de freguesia de Óis da Ribeira e Travassô e Recardães e Espinhel, unindo as margens da Pateira às do Rio Águeda e as duas freguesias.

Sendo um percurso circular, pode ser iniciado em qualquer um dos sítios por onde passa. Porém refira-se como início o parque de lazer de Óis da Ribeira.

Inicia-se o percurso á frente do restaurante, tomando-se um caminho ao fundo do parque. Percorre caminhos florestais e tradicionais, umas vezes perto das margens outras vezes mais afastado, quase sempre em área da REDE NATURA 2000, até se atingir o parque de lazer de Espinhel.

Aqui após percorrer as margens da lagoa férrea, dirige-se ao embarcadouro do Rio Cértima por um caminho junto á margem da Pateira entre salgueiros, loureiros, choupos e caniços.

Após entroncar com um largo estradão florestal, continua à direita mais 300m até ao Rio Cértima e ao seu embarcadouro.

Visitado o local, regressa-se ao parque de Espinhel, pelo referido estradão e atingindo um choupal do lado esquerdo, toma-se à direita um caminho florestal até à estrada de Serpel e de seguida um caminho à esquerda, pela floresta. Este caminho leva de novo à estrada de Serpel que se percorre cerca de 200m após os quais toma um outro à direita e que leva à entrada de Espinhel, cujo núcleo urbano dista dali uns 500m.

Agora o percurso dirige-se para a várzea do rio Águeda por caminhos entre bosques de castanheiros, carvalhos e loureiros. Atinge-se o Rio Águeda, passa-se pela fonte de Valbom e de seguida pela igreja Matriz de Óis da Ribeira, pelo largo do centro social, voltando-se ao contacto com o rio Águeda no largo do barqueiro.

Caminha-se agora junto do rio, até um entroncamento de caminhos rurais bem definidos, por entre milheirais. O da esquerda encaminha-se para Óis e para a Pateira. Em frente segue para Requeixo (concelho de Aveiro) e para a sua ponte de arco quase por cima da confluência do Rio Cértima com o Águeda. Do referido entroncamento à ponte são 1300m.
Continuando até à Pateira e ao longo da sua margem rapidamente se atinge o parque de lazer de Óis da Ribeira.";Óis da Ribeira
PR 4 – Trilho Terras de Granito;"Nesta freguesia do concelho de Águeda, domina o granito, sendo a única zona em que as habitações são constituídas na integra com este tipo de pedra. Outrora, a sede e os lugares da freguesia estavam polvilhados de gente que, pouco a pouco, se foi concentrando nos aglomerados ou partindo para outras paragens mais do litoral. presentemente e segundo os Censos 2011, habitam na freguesia 110 pessoas.
Ao longo de todo o trajeto encontram-se diferentes elementos que documentam a forte ligação à terra que as populações da zona serrana sempre tiveram. As eiras e os espigueiros, que na zona da serra do Caramulo são designados de canastros, são ainda hoje utilizados e o seu bom estado de conservação denuncia o valor cultural e histórico que têm para as gentes locais.
Os elementos de referência ao longo dos trilhos são a Escola Primária (hoje um restaurante típico), a ""Piscina Fluvial"", as azenhas, a Casa da Professora, o edifício sede da Junta de Freguesia e o cruzeiro junto ao mesmo, as nascentes de água, os remanescentes bosques com floresta autóctone, as histórias e lendas que a população conta, entre tantos outros como capelas, alminhas e a Igreja Paroquial.
";Macieira de Alcôba 
PR 9 – Trilho do Rio Águeda;"O “Trilho do Rio Águeda” é um percurso pedestre de pequena rota que decorre por caminhos e territórios da U.F. de Águeda e Borralha, U.F. de Recardães e Espinhel e U.F. de Travassô e Óis da Ribeira, unindo o centro da cidade de Águeda à Pateira de Fermentelos através do percurso ao longo das margens do rio Águeda. O primeiro de vários pontos de interesse é o “Instituto da Vinha e do Vinho”, junto ao açude insuflável que contribui para a manutenção do espelho de água na cidade. Os campos agrícolas, várzeas do rio Águeda, acompanham praticamente todo o trajeto. Dependendo da época do ano, a paisagem é marcada pelos campos de milho, em diversos estados de desenvolvimento, mas é também o rio Águeda e toda a diversidade biológica que enriquecem este trajeto, inserido em Rede Natura 2000. As galerias ripícolas compostas por freixos, amieiros, loureiros, salgueiros, mas também algumas infestantes como as acácias, abrigam aves como o Guarda-rios, o Pato-real, diversas espécies de garças, ou mesmo as lontras que aqui habitam.
Este trilho inicia-se junto ao Instituto da Vinha e do Vinho (IVV). É o maior trilho do concelho, com uma rota circular de 19,33km.
O caminho é feito junto à margem do rio e vai desde Águeda até ao parque de lazer de Óis da Ribeira, encontrando-se, portanto, com o PR1. Após a visita à Pateira do lado de Óis da Ribeira, o percurso passa na Igreja de Santo Adrião, em campos agrícolas onde atravessa a Ponte e volta à cidade, terminando no IVV.
Este percurso encontra-se adaptado para ser percorrido por pessoas com mobilidade reduzida. Para tal, o Município adaptou o trilho e adquiriu o equipamento Swiss Trac, que se encontra no Posto de turismo, mediante disponibilidade. 
";Águeda
Rota de Arte Urbana;"A Rota de Arte Urbana do Município de Águeda leva o visitante numa viagem numa galeria a céu aberto, que permite descobrir as várias obras de arte que se encontram espalhadas pela cidade. As 41 obras de arte podem ser encontradas em edifícios, muros ou outras zonas e foram pintadas por diversos artistas de renome nacional e internacional. 
A arte urbana tem como um dos seus objetivos impactar o espectador e nada melhor do que explorar a cidade e as suas especificidades através de uma rota que leva o visitante pelas diversas criações incluídas no espaço urbano. 
";Águeda
PR42 SMI Entre Túneis e Condutas (Rota da Água);"Esta rota linear liga o lugar dos Remédios, à freguesia de Água de Pau por antigos caminhos usados pelos agueiros, para o encaminhamento de água para o concelho da Lagoa. O percurso transpõe vários recursos afetos a este tipo de atividade como antigas pontes, aquedutos, tubagens de barro, levadas e alguns túneis. Para a transposição dos túneis é aconselhável o uso de lanternas, antes de iniciar o percurso, certifique-se que está devidamente equipado. Ao longo do trajeto é necessária especial atenção para a presença de animais que não deverão ser incomodados. Este percurso partilha troços com outros trilhos, tenha atenção às setas de sinalização.
Inicie o percurso junto à Casa da Água – Trail Point, um antigo posto de leite convertido num centro de apoio ao pedestrianismo, à promoção do concelho da Lagoa e de sensibilização ambiental. Siga para os Remédios, passando pela Ermida de Nossa Senhora dos Remédios, localizada num ponto elevado com vista para a costa Sul da ilha. Continue até entrar num caminho de terra de acesso a pastos. Nesta parte do percurso irá transpor vários túneis até chegar à Janela do Inferno, uma parede vertical, rica em nascentes e onde é possível observar Tritões (Triturus cristatus) em várias fases do seu ciclo de vida (adultos, juvenis e larvas).
Prossiga a caminhada até ao ponto onde os percursos se separam (PRC 37 SMI – Rota da Água, Janela do Inferno, que continua para os Remédios) e siga em direção a Água de Pau. O percurso irá passar por um miradouro, no Pico do Raposo, várias pontes antigas e um fontanário. Adiante existe um atalho municipal, à direita, que liga à freguesia de Água de Pau. Continue pela vertente sul da encosta do Fogo, que devido à abundância de água levou ao estabelecimento de várias estações de captação de água potável, permitindo o desenvolvimento económico da Lagoa.
O trilho entra numa fase descendente passando por um cruzamento com o PR 41 SMI – Rota da Água, Pedras Brancas, onde deverá seguir à direita para a Água de Pau. Se optar pela esquerda irá para a Ribeira Chã. Adiante irá transpor uma parede vertical conhecida localmente como Pedras Brancas, onde é usual a prática de escalada e rapel. A Parede de Escalada Pedras Brancas é, assim, uma prática complementar a quem visita este trilho homologado PR42.
Continue até chegar ao centro da freguesia de Água de Pau, local onde termina o percurso.";Remédios
PR41 SMI Pedras Brancas (Rota da Água);"Esta rota linear liga as freguesias da Ribeira Chã e Água de Pau. Inicie a caminhada no centro localidade, conhecida pelos seus núcleos museológicos, nomeadamente o Núcleo de Arte Sacra e Etnográfica, o Quintal Etnográfico e de Endemismo Açórico e a Casa Rural Maria dos Anjos Melo, onde espelha toda a sua história, cultura e património. Rica pela sua gastronomia, a Ribeira Chã é conhecida pelas papas de farinha de serpentina, um doce típico da freguesia, extraídas a partir do rizoma da planta conhecida na região como Serpentina (Arum italicum).
Suba ao longo da estrada que atravessa a localidade, passando por cima da via rápida e mais à frente seguindo à esquerda por uma estrada de terra que dá acesso a pastos e terras de cultivo. Prossiga ao longo desta estrada até encontrar o cruzamento com o PR 42 SMI – Rota da água, entre Túneis e Condutas e onde deverá seguir à esquerda. Neste ponto, se optar pela sua direita, irá seguir para o lugar dos Remédios. Daqui o caminho desenvolve-se por dentro de uma mata composta maioritariamente por Incensos (Pittosporum undulatum), Criptomérias (Cryptomeria japonica) e alguns Fetos-arbóreos (Cyathea cooperi).
Nesta fase descendente do percurso irá passar por uma parede vertical traquítica conhecida localmente como Pedras Brancas, onde é usual a prática de escalada e rapel. A Parede de Escalada Pedras Brancas é, assim, uma prática complementar a quem visita este trilho homologado PR41.
O percurso continua por dentro da mata até atingir uma estrada asfaltada, onde deverá seguir com cautela, virando depois à esquerda por um caminho de terra de acesso a pastos e terras de cultivo. Ao chegar à base da via rápida, opte pela esquerda e siga as marcas até ao interior da freguesia de Água de Pau, local onde termina o percurso e onde pode visitar a Ermida de Nossa Senhora do Monte Santo (edificada em 1931), onde Nossa Senhora fez uma aparição a uma menina da localidade.
Se o tempo o permitir não deixe de visitar o geossítio da Fajã lávica e arriba fóssil da Caloura, onde poderá tomar um banho na ponta da Galera, o ponto mais a Sul da ilha ou no belo porto de pesca da Caloura.
";Ribeira Chã
Trilho Urbano Cidade de Lagoa;"O trilho urbano de Lagoa é de cariz circular e tem um comprimento máximo de 7,82km. Este trilho tem início e fim no lugar da Atalhada, no Polidesportivo, estendendo-se ao longo da orla marítima, passando pelo Porto dos Carneiros até à Igreja de Santa Cruz.
O trajeto de regresso engloba a zona histórica das freguesias de Santa Cruz e Rosário. Passa pelo Edifício Paços do Concelho, Igreja Matriz mas destaca também a zona mais recente, dando a conhecer o novo polo tecnológico do concelho, o Tecnoparque.
Durante o percurso existem outros pontos de interesse que merecem ser visitados, como a Cerâmica Vieira, a Casa da Cultura ou a Casa do Ferreiro, e outros a serem descobertos.
Explore também os outros trilhos do nosso concelho. ";Lagoa
PRC 37 SMI Janela do Inferno (Rota da Água);"Inicie o percurso junto à Casa da Água - Trail Point, um antigo posto de leite convertido num centro de apoio ao pedestrianismo, à promoção do concelho da Lagoa e de sensibilização ambiental.
Desça o caminho, passando pelo parque de merendas e siga, à esquerda, pela estrada secundária para Água de Pau. Siga as marcas até encontrar um caminho de terra ascendente, à esquerda. Ao longo da subida contemple os concelhos da Lagoa e Ponta Delgada que ficaram para trás. Transponha uma linha de água até chegar ao primeiro túnel. Após o túnel irá passar por uma casa de apoio à colheita de água.
Caminhando ao longo da margem da ribeira Seca irá transpor o cruzamento com o PR 42 SMI – Rota da Água, entre Túneis e Condutas com ligação a Água de Pau. Adiante encontra-se um local de interesse – a Janela do Inferno – uma parede vertical, rica em nascentes e onde é possível observar uma cavidade, criada pela erosão da água. Na base existe um charco natural, onde é possível observar Tritões (Triturus cristatus) em várias fases do seu ciclo de vida (adultos, juvenis e larvas). Aproveite para apreciar a beleza deste lugar e retemperar as forças.
Daqui o caminho volta para trás, pela outra margem da ribeira, atravessando uma série de imponentes aquedutos que serviam no passado a antiga Fábrica do Álcool da Lagoa e atualmente fazem o abastecimento público de água ao concelho. No final da área arborizada irá encontrar um último túnel, que antigamente servia de aqueduto, com cerca de 50 m de comprimento.
Deste ponto o percurso volta a uma estrada de terra de acesso a campos de cultivo. Após atravessar a estrada regional, com cautela, siga em frente até encontrar um miradouro com vista para o concelho de Ponta Delgada.
Daqui o caminho passa pelo interior da freguesia dos Remédios até à Casa da Água – Trail Point, local onde acaba o percurso. Aproveite para conhecer a Ermida de Nossa Senhora dos Remédios, localizada num ponto alto com belas perspetivas da costa Sul da ilha.";Remédios
Rotas da Pederneira - Percurso dos Miradouros (Completo);"Este percurso tem início junto ao Pavilhão da Associação Recreativa Pederneirense, na Pederneira.
É um percurso circular, maioritariamente sem luz artificial onde se pretende dar a conhecer os encantos da histórica Pederneira.";Nazaré
Rotas de Famalicão - Percurso das Fontes Naturais;"Esta caminhada de cerca de 3 horas, permite qualquer adepto de atividade física descobrir as antigas fontes naturais, usadas para abastecimento das populações rurais da freguesia de Famalicão, em 14 km de caminhos de areia, terra batida e floresta.
Ao longo de todo o percurso é possível descobrir deslumbrantes sobre a serra e a baía de São Martinho do Porto, e com sorte, até das Berlengas, são a recompensa pelo esforço de percorrer tão sinuosos caminhos.
";Famalicão
Rotas de Valado dos Frades - Monte São Bartolomeu - Lagoa do Saloio;"Com início e término no sopé do Monte de São Bartolomeu (mais conhecido localmente como S. Brás), este percurso alia o exercício físico à observação da natureza. 
Aqui as espécies vegetais predominantes, que é possível descobrir ao longo do percurso, são o Carrasco (Quercus coccifera), o Medronheiro (Arbutus unedo) e Aderno-de-Folhas-Largas (Phillyrea latifolia). Na avifauna pode admirar-se o Peneireiro-vulgar (Falco tinnunculus), a Águia-de-Asa-Redonda (Buteo búteo), o Melro (Turdus merula), a Andorinha-das-rochas (Ptyonoprogne rupestris) e o Chapim-rabilongo (Aegithalos caudatus). Em redor da Lagoa destaca-se, na fauna, o Chapim-real (Parus major), a Milheirinha-europeia (Serinus serinus), o Verdilhão (Chloris chloris), bem como várias espécies de anfíbios, nomeadamente o Sapo-comum (Bufo bufo) e a Rã-ibérica (Rana ibérica). 
";Nazaré
Caminho do Praião;"O Caminho do Praião é simultaneamente uma Ecovia (5,5 km) e uma Ciclovia (6 km), entre as Gafanhas da Encarnação e do Carmo, acompanhando um antigo caminho de servidão agrícola na margem nascente do Canal de Mira da Ria de Aveiro.
Está equipado com cinco zonas de estada, um posto de observação de aves, diversos painéis de informação e sensibilização ambiental e poitas de amarração para pequenas embarcações.
Ao longo das margens do Canal de Mira, além dos valores naturais presentes - aves, anfíbios e flora, é possível também apreciar, ao longo do percurso, ostreiculturas, antigas secas de bacalhau, a prática das agricultura e das atividades da pesca artesanal mas também das atividades lúdicas da náutica de recreio e dos desportos náuticos praticáveis na Ria, sempre com o skyline da bela Costa Nova na outra margem do Canal.
É também possível, durante o percurso ou nas proximidades, conhecer tanto a Gafanha do Carmo como a Gafanha da Encarnação.
Atravessando a Ponte da Barra, é contíguo à ciclovia que liga a Costa Nova à Praia da Vagueira (já no Município de Vagos).";Gafanha da Encarnação
Frente Ria Costa Nova - Vagueira;Esta via, simultaneamente ecovia e ciclovia, faz a ligação das Praias da Costa Nova à Praia da Vagueira num percurso marginal (poente) ao Canal de Mira da Ria de Aveiro, permitindo o contacto com os valores naturais que se incluem na Zona de Proteção Especial da Ria de Aveiro da Rede Natura 2000 (Diretiva Aves) numa área muito próxima da frente marítima Atlântica, e usufruindo de um generoso enquadramento cénico. Está equipada com sinalética e zonas de estada e infraestruturas de apoio à atividade piscatória e à náutica de recreio e aumenta em 3,4 km a rede de ciclovias do Município de Ílhavo, a que acrescem 2,3 km no vizinho Município de Vagos.;Costa Nova
Passadiço entre as praias da Barra e da Costa Nova;"A recuperação e a estabilização do cordão dunar entre as praias da Barra e da Costa Nova, protegendo o litoral e as suas populações dos riscos da erosão costeira, foi motivo para a construção de um novo passadiço, com mais de 1 km, a ligar estas duas praias. Durante a sua construção foram plantadas espécies autóctones que contribuem para a fixação das areias na duna, e foram também colocados passadiços sobrelevados.
Destinado a circulação pedonal (exclusiva), vem ligar-se aos que já existiam nas praias podendo assim circular-se desde o Farol da Barra e a Avenida do Mar, na Costa Nova, integralmente em passadiço junto à frente marítima. Existem também diversas entradas ao longo das praias que lhe permitem aceder das áreas urbanas às áreas naturais. É perfeito para o birdwatching e para o usufruto da Natureza. Contamos com todos para nos ajudar a proteger a costa não circulando na duna.
Não deixe, no entanto, de usufruir também da frente ribeirinha destas praias... O Canal de Mira da Ria de Aveiro é também bordejado de vias circulação pedonal. Sugerimos desde já a ida por uma das margens - ribeirinha ou marítima, e o regresso pela outra... Bons passeios!";Praia da Barra
